STA_ID,LONG,LAT,SEASON,Date,THG_Fish,AFDW_Floc,AFDW_Soil,Alk_Phos_SW,Bulk_Dens_Floc,Bulk_Dens_Soil,CHLA_SW,CL_SW,COND,DO,Floc_Depth_ft,H2S_PW,MEHG_epi_peri,MEHG_Floc,MEHG_Peri_AVG,MEHG_soil,MEHG_soil_peri,MEHG_SW,NH4_SW,NO2_SW,NO3_SW,PH_soil,PH_SW,REDOX_PW,REDOX_SW,SO4_soil,SO4_SW,Soil_Thickness_FT,Sol_Reac_Phos_PW,Sol_Reac_Phos_SW,TEMP,THG_epi_peri,THG_floc,THG_peri_AVG,THG_peri_soil,THG_soil,THG_SW,TOC_SW,Tot_Carbon_Soil_%,Tot_Nitrogen_Soil_%,Tot_Nitrogen_SW,Tot_Phos_floc,Tot_Phos_soil,Tot_Phos_SW,TURB,Wat_Depth_ft
M076,-80.564073,25.730381,D,4/4/1995,251.420000,,36.120000,1.440000,,0.210000,,,635.000000,5.360000,,,9.960000,,9.960000,0.270000,,0.300000,,,,,7.260000,-18.000000,,190.000000,2.000000,1.000000,,,24.850000,42.810000,,55.145000,67.480000,72.000000,2.140000,24.960000,,,,,208.760000,40.770000,2.820000,2.000000
M068,-80.596479,25.76706,D,4/4/1995,148.660000,,74.330000,1.980000,,0.130000,,,540.000000,9.470000,,,2.750000,,2.750000,0.390000,,,,,,,7.660000,35.000000,,300.000000,2.000000,2.000000,,,27.680000,47.330000,,47.330000,,190.000000,,25.550000,,,,,442.380000,40.770000,1.700000,1.700000
M075,-80.650993,25.711933,D,4/4/1995,440.750000,,87.590000,1.460000,,0.100000,,,696.000000,4.360000,,,,,,4.690000,,1.570000,,,,,7.090000,99.900000,,380.000000,2.000000,3.700000,,,26.500000,,,,,190.000000,3.430000,30.000000,,,,,616.030000,43.790000,4.090000,1.100000
M067,-80.527924,25.792698,D,4/4/1995,72.450000,,86.770000,0.320000,,0.120000,,,587.000000,1.700000,,,,,1.980000,2.180000,1.980000,0.093000,,,,,7.060000,8.000000,,300.000000,2.000000,4.100000,,,23.390000,,,65.350000,65.350000,150.000000,1.380000,21.930000,,,,,428.030000,51.930000,0.330000,1.200000
M080,-80.597327,25.646848,D,4/4/1995,117.150000,,13.510000,2.230000,,0.560000,,,612.000000,12.660000,,,2.300000,,2.300000,0.150000,,0.152000,,,,,8.080000,90.300000,,83.000000,2.000000,1.100000,,,26.790000,26.420000,,46.410000,66.400000,57.000000,1.570000,27.530000,,,,,128.400000,40.610000,1.030000,0.900000
M092,-80.652155,25.508296,D,4/5/1995,117.380000,,9.400000,0.950000,,0.660000,,,429.000000,5.860000,,,0.710000,,0.645000,0.040000,0.580000,0.060000,,,,,7.270000,351.000000,,80.000000,2.000000,0.300000,,,20.560000,6.980000,,23.115000,39.250000,28.000000,1.840000,11.530000,,,,,154.950000,8.600000,2.030000,0.300000
M103,-80.742293,25.274669,D,4/5/1995,,,10.010000,2.080000,,0.550000,,,1760.000000,3.480000,,,0.260000,,0.295000,0.040000,0.330000,0.253000,,,,,7.170000,377.500000,,94.000000,2.000000,0.800000,,,19.950000,20.670000,,56.090000,91.510000,19.000000,2.170000,20.640000,,,,,96.810000,1.650000,1.140000,0.500000
M088,-80.625437,25.596358,D,4/5/1995,204.380000,,27.310000,1.690000,,0.410000,,,622.000000,6.430000,,,,,,0.330000,,0.430000,,,,,7.320000,121.700000,,96.000000,2.000000,0.800000,,,23.890000,36.800000,,47.050000,57.300000,150.000000,2.210000,35.570000,,,,,348.850000,7.360000,1.430000,0.500000
M100,-80.716575,25.327128,D,4/5/1995,,,10.820000,,,0.690000,,,,,,,0.270000,,0.220000,0.150000,0.170000,,,,,,,203.500000,,69.000000,,0.700000,,,,4.860000,,34.115000,63.370000,27.000000,,,,,,,151.230000,,,0.000000
M087,-80.695445,25.583679,D,4/5/1995,118.750000,,31.990000,1.880000,,0.250000,,,611.000000,6.620000,,,2.110000,,2.110000,0.590000,,0.259000,,,,,7.460000,86.500000,,170.000000,11.000000,0.800000,,,24.630000,36.200000,,37.580000,38.960000,120.000000,2.390000,33.660000,,,,,358.390000,7.980000,1.250000,1.200000
M099,-80.785754,25.327547,D,4/5/1995,155.650000,,13.070000,0.910000,,0.540000,,,567.000000,3.540000,,,0.580000,,0.755000,0.060000,0.930000,0.172000,,,,,7.090000,254.000000,,84.000000,2.000000,0.800000,,,26.800000,23.920000,,58.065000,92.210000,42.000000,3.130000,12.440000,,,,,212.840000,12.320000,2.370000,0.200000
M086,-80.769092,25.574088,D,4/5/1995,176.070000,,87.070000,1.440000,,0.100000,,,568.000000,7.740000,,,,,,4.420000,,0.385000,,,,,7.080000,105.000000,,390.000000,3.700000,4.000000,,,26.350000,54.730000,,54.730000,,200.000000,2.340000,29.880000,,,,,637.670000,8.370000,1.410000,1.000000
M098,-80.762919,25.380193,D,4/5/1995,,,36.070000,,,0.390000,,,,,,,0.200000,,1.145000,0.310000,2.090000,,,,,,,389.300000,,110.000000,,1.300000,,,,28.420000,,45.620000,62.820000,99.000000,,,,,,,605.200000,,,0.000000
M094,-80.754692,25.449209,D,4/5/1995,,,12.480000,1.050000,,0.530000,,,463.000000,10.380000,,,0.270000,,0.185000,0.030000,0.100000,0.081000,,,,,7.650000,201.300000,,86.000000,2.000000,1.000000,,,27.520000,24.690000,,29.620000,34.550000,38.000000,2.890000,18.570000,,,,,226.170000,4.260000,0.670000,0.500000
M078,-80.745558,25.615547,D,4/5/1995,544.670000,,85.530000,2.040000,,0.100000,,,552.000000,7.520000,,,8.630000,,8.630000,0.740000,,0.653000,,,,,7.520000,135.500000,,350.000000,6.400000,0.900000,,,27.180000,41.440000,,41.440000,,160.000000,2.190000,26.460000,,,,,394.740000,37.280000,1.900000,2.100000
