STA_ID,LONG,LAT,SEASON,Date,THG_Fish,Floc_Depth_ft,AFDW_Floc,MEHG_Floc,THG_floc,Tot_Phos_floc,Bulk_Dens_Floc,Soil_Thickness_FT,AFDW_Soil,Bulk_Dens_Soil,PH_soil,SO4_soil,MEHG_soil,THG_soil,Tot_Carbon_Soil_%,Tot_Nitrogen_Soil_%,Tot_Phos_soil,Wat_Depth_ft,COND_SW,DO_SW,TEMP_SW,PH_SW,TURB_SW,REDOX_SW,Alk_Phos_SW,CHLA_SW,CL_SW,MEHG_SW,NH4_SW,NO2_SW,NO3_SW,SO4_SW,Sol_Reac_Phos_SW,THG_SW,TOC_SW,Tot_Nitrogen_SW,Tot_Phos_SW,REDOX_PW,H2S_PW,Sol_Reac_Phos_PW,MEHG_Peri_AVG,THG_epi_peri
M076,-80.564073,25.730381,D,4/4/1995,251.42,,,,,,,1,36.12,0.21,,190,0.27,72,,,208.76,2,635,5.36,24.85,7.26,2.82,,1.44,,,0.3,,,,2,,2.14,24.96,,40.77,-18,,,9.96,42.81
M068,-80.596479,25.76706,D,4/4/1995,148.66,,,,,,,2,74.33,0.13,,300,0.39,190,,,442.38,1.7,540,9.47,27.68,7.66,1.7,,1.98,,,,,,,2,,,25.55,,40.77,35,,,2.75,47.33
M075,-80.650993,25.711933,D,4/4/1995,440.75,,,,,,,3.7,87.59,0.1,,380,4.69,190,,,616.03,1.1,696,4.36,26.5,7.09,4.09,,1.46,,,1.57,,,,2,,3.43,30,,43.79,99.9,,,,
M067,-80.527924,25.792698,D,4/4/1995,72.45,,,,,,,4.1,86.77,0.12,,300,2.18,150,,,428.03,1.2,587,1.7,23.39,7.06,0.33,,0.32,,,0.093,,,,2,,1.38,21.93,,51.93,8,,,1.98,
M080,-80.597327,25.646848,D,4/4/1995,117.15,,,,,,,1.1,13.51,0.56,,83,0.15,57,,,128.4,0.9,612,12.66,26.79,8.08,1.03,,2.23,,,0.152,,,,2,,1.57,27.53,,40.61,90.3,,,2.3,26.42
M092,-80.652155,25.508296,D,4/5/1995,117.38,,,,,,,0.3,9.4,0.66,,80,0.04,28,,,154.95,0.3,429,5.86,20.56,7.27,2.03,,0.95,,,0.06,,,,2,,1.84,11.53,,8.6,351,,,0.645,6.98
M103,-80.742293,25.274669,D,4/5/1995,,,,,,,,0.8,10.01,0.55,,94,0.04,19,,,96.81,0.5,1760,3.48,19.95,7.17,1.14,,2.08,,,0.253,,,,2,,2.17,20.64,,1.65,377.5,,,0.295,20.67
M088,-80.625437,25.596358,D,4/5/1995,204.38,,,,,,,0.8,27.31,0.41,,96,0.33,150,,,348.85,0.5,622,6.43,23.89,7.32,1.43,,1.69,,,0.43,,,,2,,2.21,35.57,,7.36,121.7,,,,36.8
M100,-80.716575,25.327128,D,4/5/1995,,,,,,,,0.7,10.82,0.69,,69,0.15,27,,,151.23,0,,,,,,,,,,,,,,,,,,,,203.5,,,0.22,4.86
M087,-80.695445,25.583679,D,4/5/1995,118.75,,,,,,,0.8,31.99,0.25,,170,0.59,120,,,358.39,1.2,611,6.62,24.63,7.46,1.25,,1.88,,,0.259,,,,11,,2.39,33.66,,7.98,86.5,,,2.11,36.2
M099,-80.785754,25.327547,D,4/5/1995,155.65,,,,,,,0.8,13.07,0.54,,84,0.06,42,,,212.84,0.2,567,3.54,26.8,7.09,2.37,,0.91,,,0.172,,,,2,,3.13,12.44,,12.32,254,,,0.755,23.92
M086,-80.769092,25.574088,D,4/5/1995,176.07,,,,,,,4,87.07,0.1,,390,4.42,200,,,637.67,1,568,7.74,26.35,7.08,1.41,,1.44,,,0.385,,,,3.7,,2.34,29.88,,8.37,105,,,,54.73
M098,-80.762919,25.380193,D,4/5/1995,,,,,,,,1.3,36.07,0.39,,110,0.31,99,,,605.2,0,,,,,,,,,,,,,,,,,,,,389.3,,,1.145,28.42
M094,-80.754692,25.449209,D,4/5/1995,,,,,,,,1,12.48,0.53,,86,0.03,38,,,226.17,0.5,463,10.38,27.52,7.65,0.67,,1.05,,,0.081,,,,2,,2.89,18.57,,4.26,201.3,,,0.185,24.69
M078,-80.745558,25.615547,D,4/5/1995,544.67,,,,,,,0.9,85.53,0.1,,350,0.74,160,,,394.74,2.1,552,7.52,27.18,7.52,1.9,,2.04,,,0.653,,,,6.4,,2.19,26.46,,37.28,135.5,,,8.63,41.44
M093,-80.813717,25.438391,D,4/5/1995,233.66,,,,,,,1.4,18.66,0.31,,140,0.08,58,,,241.67,0.8,613,12.18,27.64,8.25,0.86,,2.03,,,0.21,,,,2,,1.67,34.43,,4.65,206,,,1.165,
